cat_pais,n_debates_cregistro_en_decada,pr_temalibre,pr_temabloques,pr_temapuntuales,pr_temamonotema
Argentina,7,0,100,0,0
Bolivia,4,0,50,50,0
Brasil,54,74.07407407407408,3.7037037037037033,77.77777777777779,5.555555555555555
Chile,39,15.384615384615385,17.94871794871795,66.66666666666666,28.205128205128204
Colombia,63,11.11111111111111,9.523809523809524,55.55555555555556,34.92063492063492
Costa Rica,61,55.73770491803278,26.229508196721312,62.295081967213115,13.114754098360656
Ecuador,11,18.181818181818183,54.54545454545454,27.27272727272727,9.090909090909092
El Salvador,3,0,100,0,0
Guatemala,17,0,0,64.70588235294117,35.294117647058826
Mexico,11,9.090909090909092,72.72727272727273,18.181818181818183,0
Nicaragua,1,0,0,100,0
Panama,12,0,58.333333333333336,16.666666666666664,25
Paraguay,7,0,57.14285714285714,28.57142857142857,14.285714285714285
Peru,16,0,81.25,37.5,6.25
Republica Dominicana,1,0,0,100,0
Uruguay,5,20,80,0,0
Venezuela,2,50,50,0,0
