"","cat_pais","n_elecciones_con_debates","n_debates_total","n_log_debates_total","n_promedio_debates_eleccion","n_sd_n_debates","ncat_mean_tipoorg_ambito2","n_sd_tipoorg_ambito","ncat_mean_tipoorg_visibilidad","ncat_meanppac","ncat_meancompetencia","n_sd_competencia","n_sd_ppac","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_mean_totreg","n_max_reg","n_mean_reg","n_sd_reg","n_proporcioninvitados","n_indexausentes","ncat_año_primer_debate","n_cattipo_educ","n_cattipo_estado","n_cattipo_mmc","n_cattipo_osc","n_cattipo_NA","n_tot_orgs","pr_dico_formato_periodistas","n_edad_practica_absoluta","pr_cattipo_educ","pr_cattipo_estado","pr_cattipo_mmc","pr_cattipo_NA","pr_cattipo_osc","n_interrupciones","n_años_reg"
"1","Argentina",2,4,1.38629436111989,2,0,4,1.15470053837925,1,0,3.5,0.577350269189626,0,1,2,1.5,4.5,9,4.5,5.19615242270663,1,1.545,2015,0,2,0,2,0,4,0,6,0,0.5,0,0,0.5,0,1
"2","Bolivia",7,13,2.56494935746154,1.85714285714286,1.8187062180826,2.57692307692308,0.640512615220349,1.90384615384615,0,1.4,1.67332005306815,0,0.153846153846154,0.153846153846154,0.153846153846154,0.461538461538462,3,0.461538461538462,1.12660142429822,0.900577200577201,8.63854232804233,1989,1,0,14,7,0,22,0,32,0.0454545454545455,0,0.636363636363636,0,0.318181818181818,2,0
"3","Brasil",7,51,3.93182563272433,7.28571428571429,3.06760428974002,2.08529411764706,0.375538828571302,2.82156862745098,0.816326530612245,3.73469387755102,0.83604999362283,1.43865488952579,2.68627450980392,1.84313725490196,1.84313725490196,6.37254901960784,7,6.37254901960784,1.4691600908509,0.720702353202353,3.47228487012987,1989,3,4,70,4,0,81,0,32,0.037037037037037,0.0493827160493827,0.864197530864197,0,0.0493827160493827,1,7
"4","Chile",7,29,3.36729582998647,4.14285714285714,2.05886285511144,2.82512315270936,0.746855948077033,1.935960591133,0.461538461538462,2.30434782608696,1.57926284900426,1.17407901712855,0,0,0,0,0,0,0,0.946428571428571,2.97103174603175,1989,3,1,25,17,0,46,0,32,0.0652173913043478,0.0217391304347826,0.543478260869565,0,0.369565217391304,0,0
"5","Colombia",8,45,3.80666248977032,5.625,5.41723773213477,2.37518518518519,0.803493180235292,2.45296296296296,0.447368421052632,2.86842105263158,1.81839032814486,0.978066720242586,0,2.86666666666667,1.91111111111111,4.77777777777778,5,4.77777777777778,1.04204538569996,0.802741702741703,8.21615978835979,1986,9,11,71,27,0,118,0,35,0.076271186440678,0.0932203389830508,0.601694915254237,0,0.228813559322034,1,7
"6","Costa Rica",11,51,3.93182563272433,4.63636363636364,9.77756535716972,2.70108695652174,1.21266160778124,2.09420289855072,0.475,3.67567567567568,1.45399935148339,1.0618682133693,2.70588235294118,3.13725490196078,1.80392156862745,7.64705882352941,9,7.64705882352941,2.6819659163514,0.69639126305793,1.81083541277563,1978,16,5,35,7,5,68,0,43,0.235294117647059,0.0735294117647059,0.514705882352941,0.0735294117647059,0.102941176470588,0,6
"7","Ecuador",7,15,2.70805020110221,2.14285714285714,1.60356745147455,2.10714285714286,1.34705621247238,1.78571428571429,0,2.66666666666667,1.22474487139159,0,1.46666666666667,1.46666666666667,1.13333333333333,4.06666666666667,11,4.06666666666667,5.17503163091322,0.745421245421245,2.65415178571429,1979,1,2,10,6,1,20,0,42,0.05,0.1,0.5,0.05,0.3,5,1
"8","El Salvador",3,4,1.38629436111989,1.33333333333333,0.577350269189626,3,0.816496580927726,2,0,3.33333333333333,1.52752523165195,0,0,0,0,0,0,0,0,0.928571428571429,9.2355,1999,1,0,3,0,0,4,0,22,0.25,0,0.75,0,0,2,0
"9","Guatemala",9,26,3.25809653802148,2.88888888888889,2.52495239863737,1.64102564102564,0.705048946594502,1.34615384615385,0.352941176470588,1.35714285714286,1.33630620956212,0.861769724940212,0,0,0,0,0,0,0,0.692120797862425,2.39920502225048,1985,3,0,9,28,0,40,0,36,0.075,0,0.225,0,0.7,0,0
"10","Honduras",6,6,1.79175946922805,1,0,2.33333333333333,1.15470053837925,1.66666666666667,0,1,1.4142135623731,0,0,0,0,0,0,0,0,1,3.19481481481482,1993,2,0,2,1,3,8,0,28,0.25,0,0.25,0.375,0.125,1,0
"11","Mexico",5,11,2.39789527279837,2.2,0.687551650952329,4.09090909090909,0.943879807448539,1.36363636363636,0.727272727272727,3.81818181818182,1.60113596038449,1.27207775634268,1.63636363636364,3.27272727272727,1.90909090909091,6.81818181818182,9,6.81818181818182,2.75020660380931,0.857575757575758,1.51077272727273,1994,0,7,5,1,0,13,0,27,0,0.538461538461538,0.384615384615385,0,0.0769230769230769,0,4
"12","Nicaragua",2,2,0.693147180559945,1,0,2,0,3,0,0,0,0,0.5,0.5,0.5,1.5,3,1.5,2.12132034355964,1,7.6,1990,0,0,2,0,1,3,0,31,0,0,0.666666666666667,0.333333333333333,0,4,0
"13","Panama",5,17,2.83321334405622,3.4,1.55061657565817,1.975,0.816451218746468,1.71666666666667,0.333333333333333,1.63636363636364,1.91168654714769,0.887625364598595,1.88235294117647,1.88235294117647,1.17647058823529,4.94117647058824,10,4.94117647058824,4.0073461953532,0.907563025210084,5.44005602240896,1994,4,2,16,11,1,34,0,27,0.117647058823529,0.0588235294117647,0.470588235294118,0.0294117647058824,0.323529411764706,1,1
"14","Paraguay",6,10,2.30258509299405,1.66666666666667,1.42984070596848,2.28125,0.646936461883457,2.125,0.142857142857143,0,0,0.377964473009227,0,0,0,0,0,0,0,0.412626262626263,0,1993,1,0,7,6,2,16,0,28,0.0625,0,0.4375,0.125,0.375,0,0
"15","Peru",6,16,2.77258872223978,2.66666666666667,1.43759057685652,3.76041666666667,1.33606491026613,1.44791666666667,1.125,3.375,1.5,1.36014705087354,0,0,0,0,0,0,0,0.929103535353535,2.60677083333333,1990,4,8,7,5,0,24,0.1875,31,0.166666666666667,0.333333333333333,0.291666666666667,0,0.208333333333333,2,0
"16","Rep. Dom.",1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,7.7175,2016,0,0,0,1,0,1,0,5,0,0,0,0,1,0,0
"17","Uruguay",6,12,2.484906649788,2,1.80906806746658,2.58333333333333,1.03077640640442,2.65277777777778,0,3.2,1.92353840616713,0,0.666666666666667,0.666666666666667,0.5,1.83333333333333,11,1.83333333333333,4.28174419288838,0.415349927849928,3.13916666666667,1984,0,4,12,0,3,19,0,37,0,0.210526315789474,0.631578947368421,0.157894736842105,0,2,1
"18","Venezuela",4,4,1.38629436111989,1,0,2.25,0.5,3,0,4.33333333333333,0.577350269189626,0,0,0,0,0,0,0,0,0.511544011544012,2.96916666666667,1963,0,1,6,0,0,7,0,58,0,0.142857142857143,0.857142857142857,0,0,9,0
